b,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4 
(Optional)","Time Limit (sec) 
(Max: 300 Seconds)","Correct Answer(s) 
(Only Include Answer #)"
1,Analogi 'cetakan kue' dalam OOP merujuk pada...,Object,Method,Class,Property,20,3
2,Kue hasil cetakan dalam analogi OOP disebut...,Class,Object,Property,Namespace,20,2
3,Rasa dan warna kue dalam analogi OOP adalah...,Method,Constructor,Interface,Property,20,4
4,Kemampuan 'kue bisa dimakan' dalam analogi OOP adalah...,Property,Method,Class,Object,20,2
5,"Dalam pemrograman procedural, data dan fungsi biasanya...",Selalu dalam satu class,Terpisah,Hanya di constructor,Tidak bisa dipisah,20,2
6,"Dalam OOP, data dan fungsi dikelompokkan dalam satu unit bernama...",Array,Function global,Class,File config,20,3
7,Object dibuat dengan keyword...,create,new,object,instance,20,2
8,Operator untuk akses property/method object di PHP adalah...,.,::,->,=>,20,3
9,Property adalah...,Fungsi dalam class,Nama file PHP,Keyword reserved,Data/atribut dalam class,20,4
10,Method adalah...,Variabel global,Nama object,Fungsi yang didefinisikan di dalam class,Tipe data khusus,20,3
11,Class adalah...,Object yang sudah jadi,Blueprint/cetakan untuk membuat object,Method khusus PHP,Folder project,20,2
12,Object adalah...,Nama class itu sendiri,File .php,Instance dari class,Method static,20,3
13,Keyword untuk mendefinisikan class di PHP adalah...,object,new,struct,class,20,4
14,Visibility property di contoh modul 1 adalah...,public,private,protected,readonly,20,1
15,Sintaks membuat object dari class Buku yang benar...,$buku = new Buku();,$buku = Buku.new();,$buku = create Buku;,new class Buku;,20,1
16,Cara set property setelah object dibuat...,"$obj.nama = ""nilai"";","$obj->nama = ""nilai"";","$obj::nama = ""nilai"";","set($obj, nama)",20,2
17,Cara memanggil method object yang benar...,$obj->info();,$obj.info();,info($obj);,$obj::info;,20,1
18,PHP memakai -> bukan . karena titik (.) digunakan untuk...,Concatenation/gabung string,Akses property,Membuat object,Import class,20,1
19,Prasyarat pertemuan 1 termasuk penguasaan...,"Variabel, array, function, kondisi, perulangan",Laravel dan Blade,MySQL migration,HTML dan CSS saja,20,1
20,"Jika dibuat 2 object dari class yang sama, data keduanya...",Selalu identik,Independen/terpisah,Hanya satu yang boleh ada,Menyebabkan error fatal,20,2
21,Alasan OOP berguna saat program membesar...,PHP tidak perlu function lagi,Semua kode jadi 1 baris,Data dan fungsi lebih terorganisir,Tidak perlu variable,20,3
22,Struktur isi class dibungkus dengan simbol...,( ),{ },[ ],< >,20,2
23,Return type void pada method artinya method...,Tidak mengembalikan nilai,Wajib return null,Hanya boleh echo integer,Tidak boleh dipanggil,20,1
24,"LOGIKA: $mobil = new Mobil(); $mobil->merk = ""Toyota""; echo $mobil->merk; output...",Toyota,Mobil,null,Error fatal,25,1
25,LOGIKA: $p = new Produk(); $p->stok = 10; $p->jual(3); stok menjadi...,7,10,3,13,25,1
26,NOT - Manakah BUKAN istilah OOP dasar pertemuan 1?,Property,Migration,Method,Object,20,2
27,NOT - Manakah BUKAN bagian struktur class dasar?,public $property,public function metode(),kurung kurawal penutup },new di dalam class,20,4
28,Tujuan pertemuan 1 salah satunya menjelaskan perbedaan...,Laravel dan Symfony,GET dan POST,Procedural dan OOP,Windows dan Linux,20,3
29,Demo pertemuan 1 dijalankan dengan perintah...,npm run dev,php artisan serve,composer install,php contoh/pertemuan-01/Buku.php,20,4
